"","N_B_RNA3","N_B_RNA5","M_W_RNA6","N_B_RNA10","N_B_RNA11","M_W_RNA12","M_W_RNA14","M_W_RNA16","M_W_RNA17"
"ENSG00000162576.16",129,213,152,81,58,19,237,114,112
"ENSG00000175756.13",91,448,773,391,511,122,297,417,372
"ENSG00000223663.2",0,0,0,0,0,0,0,0,0
"ENSG00000221978.11",857,1958,2074,2398,2206,734,2315,2103,2153
"ENSG00000224870.6",78,361,551,440,425,177,232,409,331
"ENSG00000242485.5",290,978,1538,1063,1267,953,608,1144,1077
"ENSG00000264293.2",0,0,0,0,0,0,0,0,0
"ENSG00000272455.1",20,35,39,28,32,23,36,60,38
"ENSG00000235098.8",45,147,26,137,76,6,129,62,153
"ENSG00000225905.1",7,0,3,9,9,0,3,9,9
"ENSG00000205116.3",0,0,0,0,0,0,0,0,0
"ENSG00000225285.1",6,26,21,14,17,4,18,8,18
"ENSG00000179403.11",811,3133,1812,1344,1322,392,1799,1460,885
"ENSG00000215915.9",42,35,23,72,22,28,101,1,89
"ENSG00000160072.19",174,238,304,364,382,70,404,65,187
"ENSG00000284740.1",2,3,13,6,6,0,7,8,4
"ENSG00000197785.13",79,249,246,165,123,162,175,154,140
"ENSG00000205090.8",5,10,3,2,2,0,4,3,4
"ENSG00000160075.11",483,1630,2698,1530,1909,1841,1173,1705,1710
"ENSG00000215014.5",0,11,46,12,27,31,3,12,35
"ENSG00000274481.1",0,0,0,0,0,0,0,0,0
"ENSG00000228594.3",12,22,64,8,21,20,7,42,9
"ENSG00000272106.1",19,167,157,119,202,117,92,154,176
"ENSG00000197530.12",98,192,200,214,222,67,281,76,120
"ENSG00000189409.13",1,0,0,1,0,0,1,0,1
"ENSG00000248333.8",76,275,345,312,348,381,412,227,294
"ENSG00000272004.1",0,3,6,2,11,26,8,9,11
"ENSG00000189339.11",325,915,938,872,1326,587,901,1388,1144
"ENSG00000269737.2",0,3,0,0,0,0,0,0,0
"ENSG00000215914.4",0,0,0,1,0,0,0,0,0
"ENSG00000008128.22",7,59,20,64,33,8,24,10,23
"ENSG00000268575.1",36,88,100,158,134,27,104,95,135
"ENSG00000227775.3",1,2,3,1,1,0,2,1,0
"ENSG00000215790.7",215,452,842,446,567,281,374,1059,400
"ENSG00000008130.15",287,770,1392,937,1102,513,642,916,812
"ENSG00000078369.17",1630,7947,10054,6733,9419,6136,4646,5543,6276
"ENSG00000231050.1",0,6,24,6,17,15,6,10,8
"ENSG00000169885.9",12,0,3,4,0,0,9,1,6
"ENSG00000178821.12",4,3,24,5,12,0,1,26,5
"ENSG00000142609.18",0,20,15,15,12,0,19,2,6
"ENSG00000233542.1",0,0,0,0,0,0,0,0,0
"ENSG00000187730.8",14,6,6,0,5,0,2,0,0
"ENSG00000226969.1",0,1,0,0,0,0,1,0,2
"ENSG00000067606.16",209,748,710,686,747,396,659,436,513
"ENSG00000271806.1",0,0,0,1,0,0,2,0,3
"ENSG00000182873.5",0,11,3,2,2,0,12,1,6
"ENSG00000162585.16",110,150,151,189,182,59,195,42,115
"ENSG00000234396.3",0,1,0,1,0,13,0,0,0
"ENSG00000157933.9",400,1188,1337,818,1054,975,1078,691,735
"ENSG00000116151.13",116,208,196,184,213,51,244,123,196
"ENSG00000272161.1",1,3,0,0,0,0,6,0,0
"ENSG00000269896.2",9,35,27,47,44,5,50,39,41
"ENSG00000272420.1",0,3,5,8,14,0,6,5,5
"ENSG00000157916.19",605,2606,2432,2017,3038,1881,1471,2076,2410
"ENSG00000157911.10",159,692,828,542,915,452,405,663,626
"ENSG00000149527.17",206,750,103,779,400,106,756,46,540
"ENSG00000224387.1",0,0,0,1,0,0,1,0,0
"ENSG00000229393.1",0,0,0,0,0,0,0,0,0
"ENSG00000157881.13",80,378,301,311,353,93,275,236,306
"ENSG00000197921.5",0,0,0,9,0,0,0,0,1
"ENSG00000272449.2",0,15,6,3,9,0,5,2,5
