"","N_B_RNA3","N_B_RNA5","N_W_RNA7","N_B_RNA10","N_B_RNA11","N_W_RNA13","N_W_RNA15","N_W_RNA18"
"ENSG00000241399.6",166,1395,2934,1238,1978,926,1819,1187
"ENSG00000248672.5",0,0,0,1,0,0,0,0
"ENSG00000054219.10",12,100,147,61,49,54,30,83
"ENSG00000227055.1",10,2,3,2,0,6,0,1
"ENSG00000153246.12",323,630,1364,797,1089,1207,1171,964
"ENSG00000115221.11",447,766,813,1085,544,421,356,1148
"ENSG00000285155.1",0,9,4,2,1,8,1,6
"ENSG00000285373.1",0,7,2,9,1,4,10,1
"ENSG00000153250.19",500,1529,1644,1454,1107,1163,1088,2038
"ENSG00000283734.1",0,0,0,0,0,0,0,0
"ENSG00000279844.1",0,0,0,0,0,0,0,2
"ENSG00000244372.3",0,0,2,0,0,0,0,1
"ENSG00000232337.1",0,0,0,0,0,0,0,1
"ENSG00000224467.1",0,0,0,0,0,0,0,0
"ENSG00000136560.13",304,1050,1342,856,1272,704,916,951
"ENSG00000235724.8",0,0,0,0,0,0,0,1
"ENSG00000227403.1",1,86,2,93,104,0,36,26
"ENSG00000225813.1",0,0,0,0,0,0,3,0
"ENSG00000115233.11",169,1351,2102,1331,1927,959,1511,1218
"ENSG00000232320.6",3,6,3,2,3,1,4,0
"ENSG00000271924.1",0,0,2,1,0,0,1,2
"ENSG00000136535.14",0,0,0,0,0,0,0,1
"ENSG00000224076.5",0,0,0,0,0,0,0,0
"ENSG00000251621.1",0,0,0,0,0,0,0,0
"ENSG00000144290.16",0,15,32,38,41,20,30,5
"ENSG00000280105.1",0,0,0,0,0,0,0,0
"ENSG00000226121.2",19,12,20,19,24,11,19,11
"ENSG00000238570.1",0,0,0,0,0,0,0,0
"ENSG00000226946.1",0,0,0,0,0,0,0,0
"ENSG00000235716.1",0,0,0,0,0,0,0,0
"ENSG00000234732.1",0,0,0,0,0,0,0,0
"ENSG00000197635.9",639,12087,20287,11014,24418,6023,24374,10042
"ENSG00000230918.1",1,112,118,139,218,44,251,71
"ENSG00000231445.1",0,7,3,12,4,0,3,0
"ENSG00000224674.1",0,0,0,0,0,0,0,0
"ENSG00000233397.2",0,0,8,1,9,1,0,3
"ENSG00000115263.14",0,0,1,1,4,0,1,0
"ENSG00000236841.7",1,9,250,212,122,94,50,17
"ENSG00000078098.13",4,3,45,14,3,23,7,47
"ENSG00000115267.6",658,1138,1058,972,1467,624,1336,1082
"ENSG00000115271.10",69,396,786,381,722,333,459,461
"ENSG00000184611.11",0,0,0,0,1,0,0,2
"ENSG00000212312.1",0,0,0,0,0,0,0,0
"ENSG00000237750.2",0,0,0,0,0,0,0,0
"ENSG00000230282.1",0,0,0,0,0,0,0,0
"ENSG00000200902.1",0,0,0,0,0,0,0,0
"ENSG00000182263.13",25,223,272,175,332,322,344,187
"ENSG00000237844.1",0,0,2,1,0,0,0,0
"ENSG00000226847.1",0,0,0,0,0,0,0,0
"ENSG00000229641.1",0,0,0,0,0,0,0,0
"ENSG00000115290.9",8,9,23,10,29,29,14,25
"ENSG00000277998.1",2,9,5,8,5,4,6,4
"ENSG00000082438.15",983,5724,7882,6084,10970,5774,8452,7561
"ENSG00000224331.2",6,15,39,33,31,23,39,59
"ENSG00000206869.1",0,1,11,7,8,7,8,22
"ENSG00000236283.4",28,16,26,52,81,72,57,47
"ENSG00000199508.1",0,0,0,0,0,0,0,0
"ENSG00000223318.1",0,0,0,0,0,1,0,7
"ENSG00000169507.9",54,106,397,332,396,924,768,1256
"ENSG00000153253.16",5,3,63,55,7,10,37,20
"ENSG00000136531.15",24,73,26,31,19,46,31,44
"ENSG00000233204.1",0,0,0,0,0,2,0,0
"ENSG00000178662.15",292,897,233,351,410,399,391,219
"ENSG00000115339.13",307,2161,3008,1872,4043,1295,1872,1357
"ENSG00000235192.1",4,12,22,27,21,20,21,12
"ENSG00000229195.1",5,28,6,31,19,18,8,9
"ENSG00000232411.1",0,59,4,31,42,32,21,5
"ENSG00000123607.14",625,2874,1954,3193,2556,2191,2013,1917
"ENSG00000224490.5",0,0,0,0,0,0,0,0
"ENSG00000236107.8",0,8,10,7,16,21,4,16
"ENSG00000144285.19",0,0,0,0,0,0,1,0
"ENSG00000238813.1",0,0,0,0,0,0,0,0
"ENSG00000222376.1",0,0,0,0,0,0,0,1
"ENSG00000169432.15",13,146,144,145,105,88,183,183
"ENSG00000136546.14",202,1274,558,430,354,804,844,483
"ENSG00000283657.1",0,0,0,0,0,0,0,0
"ENSG00000163092.19",0,0,0,0,24,0,0,0
"ENSG00000225182.1",0,0,0,0,0,0,0,0
"ENSG00000254552.1",0,0,0,0,0,0,0,0
"ENSG00000228222.1",0,0,0,0,2,0,0,1
"ENSG00000238357.1",0,0,0,0,0,0,0,0
"ENSG00000214211.2",0,0,0,0,0,0,0,0
"ENSG00000235335.2",0,0,2,0,0,4,0,0
"ENSG00000172318.5",0,8,9,7,12,11,27,13
"ENSG00000198648.10",744,3668,5545,2985,5460,2976,4961,3449
"ENSG00000238259.1",9,24,33,20,16,37,48,68
"ENSG00000241074.3",4,0,1,0,4,0,1,2
"ENSG00000172292.14",541,2858,3874,2482,4472,2129,2595,2322
"ENSG00000265694.1",0,4,9,7,4,7,5,16
"ENSG00000199348.1",0,0,0,0,0,0,0,0
"ENSG00000227617.8",0,1,0,0,1,2,0,0
"ENSG00000163072.15",192,737,726,733,1013,574,879,823
"ENSG00000152253.8",0,12,12,16,7,9,4,9
"ENSG00000152254.10",3,0,2,0,9,4,0,2
"ENSG00000073734.9",0,0,11,4,7,4,3,29
"ENSG00000073737.16",0,19,6,8,21,6,8,29
"ENSG00000235321.1",0,0,0,0,0,0,0,0
"ENSG00000235995.1",0,0,0,0,0,0,0,0
"ENSG00000081479.13",2,64,134,53,38,22,182,99
"ENSG00000163093.11",15,116,106,90,112,90,144,123
"ENSG00000251569.1",0,0,0,0,0,0,0,0
"ENSG00000239474.6",8,16,70,26,42,22,17,35
"ENSG00000138399.17",74,403,517,442,470,361,326,526
"ENSG00000229827.1",0,0,0,3,3,3,0,0
"ENSG00000138398.15",432,3052,4034,2785,3770,2594,3400,2794
"ENSG00000154479.12",7,2,32,10,32,5,67,18
"ENSG00000226072.1",0,0,0,0,0,0,3,0
"ENSG00000144362.11",9,255,392,261,361,172,365,239
"ENSG00000213160.9",136,1008,2163,843,1516,696,1414,976
"ENSG00000206961.1",0,0,0,0,0,1,1,1
"ENSG00000231550.1",0,0,0,4,0,0,0,0
"ENSG00000214369.2",0,0,0,0,0,0,0,0
"ENSG00000138385.15",278,2311,3113,1730,2684,1421,2474,2246
"ENSG00000138382.14",27,426,733,368,712,269,408,326
"ENSG00000144357.16",727,6228,7639,4895,8456,4223,6018,4760
"ENSG00000227176.1",0,0,0,0,0,0,0,0
"ENSG00000252807.1",0,0,0,0,0,0,0,0
"ENSG00000071909.18",8,3,13,3,13,15,9,23
"ENSG00000231898.8",0,3,0,0,0,0,0,0
"ENSG00000214821.4",0,0,0,0,0,0,0,0
"ENSG00000213981.8",0,3,2,0,1,8,5,2
"ENSG00000275414.1",0,0,0,0,0,0,0,0
"ENSG00000222033.1",3,1,22,4,11,7,20,6
"ENSG00000204335.3",3,21,100,21,72,35,94,21
"ENSG00000234350.4",0,0,36,15,12,18,23,10
"ENSG00000128692.8",22,23,40,29,52,19,25,25
"ENSG00000239467.5",0,8,48,15,30,13,38,20
"ENSG00000222509.1",0,0,0,0,0,0,0,0
"ENSG00000204334.7",0,10,37,5,13,6,21,9
"ENSG00000128683.13",0,12,86,32,34,40,34,65
"ENSG00000235934.1",0,0,0,0,0,1,0,1
"ENSG00000115806.12",417,1171,2981,1049,1910,1012,1965,1522
"ENSG00000198586.13",719,4196,8557,3338,5754,3318,4977,4055
"ENSG00000123600.19",232,870,1412,699,848,684,773,874
"ENSG00000224553.1",3,3,12,5,3,5,12,13
"ENSG00000115827.13",103,1008,1321,846,1425,648,906,958
"ENSG00000228507.1",0,1,4,2,0,2,0,1
"ENSG00000234061.1",0,1,0,0,0,0,0,0
"ENSG00000233762.3",25,6,14,17,14,9,15,8
"ENSG00000071967.11",834,4463,3395,3416,2325,2272,2489,3262
"ENSG00000233934.2",0,0,0,0,0,0,0,0
"ENSG00000077380.15",692,3277,4446,2885,3735,2145,3291,2949
"ENSG00000115840.13",269,1154,1058,944,856,612,784,896
"ENSG00000252779.1",0,7,5,3,0,3,1,3
"ENSG00000128708.12",118,1279,2046,1138,1706,818,1352,1407
"ENSG00000172878.13",31,137,242,187,265,229,241,256
"ENSG00000144355.14",0,0,3,0,0,24,3,21
"ENSG00000115844.10",0,0,0,0,0,0,0,3
"ENSG00000236651.1",0,0,0,0,0,0,0,1
"ENSG00000232555.1",0,13,7,13,7,0,1,0
"ENSG00000278924.1",0,0,0,0,0,0,1,1
"ENSG00000091409.14",1094,6907,6556,6871,8725,3943,5352,6411
"ENSG00000226963.1",0,0,1,5,1,0,4,0
"ENSG00000232788.1",7,7,0,0,0,3,3,1
"ENSG00000225205.5",13,6,16,3,8,6,9,7
"ENSG00000152256.13",178,542,1286,484,1016,459,592,448
"ENSG00000199866.1",0,0,0,0,0,0,0,0
"ENSG00000230104.1",0,0,0,0,0,0,0,0
"ENSG00000228016.1",0,0,0,0,0,4,1,1
"ENSG00000239041.1",0,0,0,0,0,0,0,0
"ENSG00000091428.17",45,222,189,220,313,359,230,305
"ENSG00000232292.1",0,0,0,0,0,0,0,0
"ENSG00000091436.16",1168,3672,3262,2084,1741,2184,4615,3046
"ENSG00000238133.6",0,1,0,0,0,1,1,1
"ENSG00000231735.1",0,0,0,0,0,0,0,0
"ENSG00000236391.3",0,0,0,0,0,1,0,0
"ENSG00000144354.13",35,76,106,97,86,115,228,219
"ENSG00000213148.3",0,0,0,0,0,0,0,0
"ENSG00000236832.1",0,0,0,0,0,0,0,0
"ENSG00000226131.1",0,0,0,0,0,0,0,0
"ENSG00000237016.1",0,0,0,0,0,0,0,0
"ENSG00000237617.1",0,0,0,0,0,0,0,0
"ENSG00000270460.1",0,0,0,2,0,0,0,0
"ENSG00000234415.1",0,0,0,0,0,0,0,0
"ENSG00000224638.1",0,0,1,2,0,0,0,0
"ENSG00000172845.14",849,4076,5891,3525,4743,2781,4088,3487
"ENSG00000271151.1",0,14,13,9,11,27,19,20
"ENSG00000273258.1",0,5,4,0,0,0,1,3
"ENSG00000260868.1",4,3,0,0,0,3,1,0
"ENSG00000235414.3",0,0,0,0,0,0,0,0
"ENSG00000138430.15",300,1350,2853,1133,1720,866,1414,1474
"ENSG00000270799.1",0,0,0,0,0,3,0,0
"ENSG00000243770.3",0,0,3,1,10,1,3,9
"ENSG00000201088.1",0,0,0,0,0,0,0,0
"ENSG00000227180.1",0,0,0,0,0,0,0,0
"ENSG00000237804.1",0,0,0,0,0,0,0,0
"ENSG00000231453.1",0,0,0,0,0,0,0,0
"ENSG00000280414.1",0,0,0,0,0,0,0,0
"ENSG00000217236.1",0,0,0,0,0,0,0,0
"ENSG00000138433.15",121,864,1338,790,861,698,900,786
"ENSG00000144306.14",111,777,1215,613,1521,711,1281,671
"ENSG00000163328.13",264,982,1610,452,1181,648,800,516
"ENSG00000226853.2",0,1,6,2,8,7,15,8
"ENSG00000179997.8",0,0,0,0,0,0,0,0
"ENSG00000279884.1",0,0,0,0,0,1,0,5
"ENSG00000236449.1",0,0,0,0,9,2,0,0
"ENSG00000206965.1",0,9,35,20,52,8,13,15
"ENSG00000115935.17",314,746,623,423,415,502,477,636
"ENSG00000237798.1",0,0,0,0,0,0,0,0
"ENSG00000235655.3",47,144,978,444,199,362,377,494
"ENSG00000138435.15",0,0,0,1,0,2,0,1
"ENSG00000128656.13",154,510,171,169,141,160,201,119
"ENSG00000212167.1",0,0,0,0,0,0,0,0
"ENSG00000199827.1",0,0,0,0,0,0,0,0
"ENSG00000227187.1",0,3,1,2,0,0,1,2
"ENSG00000115966.16",616,2435,3439,2024,3562,1798,2732,2341
"ENSG00000277948.1",10,7,18,15,16,3,14,31
"ENSG00000215973.1",1,0,1,2,2,3,1,4
"ENSG00000229750.1",0,2,0,1,0,1,1,0
"ENSG00000154518.9",347,1577,2314,1386,1833,755,1508,1336
"ENSG00000200121.2",0,0,0,0,0,0,0,0
"ENSG00000233131.1",0,2,0,1,0,3,1,0
"ENSG00000229066.1",0,0,0,0,0,0,0,0
"ENSG00000223976.1",0,0,0,6,0,0,0,0
"ENSG00000235047.1",0,0,0,0,0,0,0,0
"ENSG00000229779.1",0,0,0,0,0,0,1,0
"ENSG00000144320.13",359,3402,2918,2138,4099,1618,2608,1734
"ENSG00000174279.4",4,132,11,48,39,14,13,8
"ENSG00000128714.5",101,434,66,205,184,104,152,126
"ENSG00000170178.6",0,1,1,1,6,3,3,3
"ENSG00000128713.13",14,89,24,71,45,38,47,87
"ENSG00000128710.5",179,410,92,259,244,195,237,306
"ENSG00000237380.6",6,8,0,6,16,5,12,8
"ENSG00000128709.12",16,45,39,34,35,75,41,54
"ENSG00000175879.8",0,110,40,60,84,56,81,62
"ENSG00000128652.11",3,19,13,6,13,7,8,20
"ENSG00000207744.1",0,0,0,1,0,0,0,0
"ENSG00000278500.1",0,1,0,1,0,0,0,0
"ENSG00000170166.5",0,4,0,0,0,0,0,2
"ENSG00000224189.7",0,96,4,76,140,2,199,15
"ENSG00000272729.1",0,0,0,0,0,0,1,0
"ENSG00000226363.3",0,0,0,0,5,0,0,0
"ENSG00000128645.14",17,42,3,24,55,3,42,2
"ENSG00000283880.1",0,0,0,0,0,0,0,0
"ENSG00000279160.1",0,0,0,0,0,0,0,0
"ENSG00000218175.2",17,7,21,14,22,12,14,10
"ENSG00000230384.1",0,0,0,0,0,0,0,0
"ENSG00000128654.13",97,832,1049,757,1366,625,1022,673
"ENSG00000237260.1",0,2,0,4,4,2,1,4
"ENSG00000229434.1",0,0,0,0,0,0,0,0
"ENSG00000236231.1",0,0,0,0,0,0,0,0
"ENSG00000283203.1",0,0,0,0,0,0,0,0
"ENSG00000272551.1",0,0,0,0,1,1,3,0
"ENSG00000163364.9",0,4,1,2,3,10,4,4
"ENSG00000224577.1",0,0,3,0,0,0,0,0
"ENSG00000252027.1",0,0,0,0,0,0,0,0
"ENSG00000230552.5",0,1,1,0,0,2,0,0
"ENSG00000237053.1",0,0,0,0,0,0,0,0
"ENSG00000223777.1",0,0,0,2,0,0,0,0
"ENSG00000279205.1",0,2,0,1,0,0,0,0
"ENSG00000227098.1",0,0,2,0,0,0,0,0
"ENSG00000206866.1",0,0,0,0,0,0,0,0
"ENSG00000236501.5",9,3,8,5,5,33,7,2
"ENSG00000251746.1",0,0,0,0,0,0,0,0
"ENSG00000229337.1",0,1,0,0,1,1,0,0
"ENSG00000226273.2",0,0,0,0,0,0,0,0
"ENSG00000201102.1",0,0,0,0,0,0,0,0
"ENSG00000213069.3",0,0,0,0,0,0,0,0
"ENSG00000170144.20",822,5972,5830,5119,6495,5010,5916,6132
"ENSG00000284252.1",0,0,0,0,0,0,0,0
"ENSG00000116044.15",767,2921,3394,2995,3105,2346,3082,4037
"ENSG00000225808.1",4,5,17,17,14,37,15,27
"ENSG00000265396.1",0,0,2,0,2,3,1,1
"ENSG00000222043.2",0,0,0,0,8,1,0,3
"ENSG00000213963.6",10,42,31,13,14,26,25,20
"ENSG00000271825.1",0,0,0,0,0,0,0,0
"ENSG00000271996.1",0,0,0,0,0,0,1,0
"ENSG00000278418.1",0,0,0,0,0,2,0,1
"ENSG00000280374.1",0,19,9,11,11,7,11,14
"ENSG00000237178.2",0,0,0,0,0,0,0,0
"ENSG00000238295.1",0,2,1,0,3,3,3,3
"ENSG00000018510.14",190,907,968,686,905,618,601,672
"ENSG00000196659.9",77,328,511,229,616,284,385,196
"ENSG00000237655.1",0,0,0,0,0,0,0,0
"ENSG00000197557.6",55,501,1072,407,973,409,742,356
"ENSG00000128655.17",13,1623,632,2603,4764,3303,2255,1084
"ENSG00000284741.1",0,0,0,0,0,0,0,0
"ENSG00000229941.5",1,0,0,0,0,0,0,0
"ENSG00000236664.1",0,12,8,42,50,50,19,28
"ENSG00000213962.2",7,89,44,195,285,249,92,149
"ENSG00000229744.1",0,0,0,0,0,0,0,0
"ENSG00000206788.1",0,0,0,0,0,0,0,0
"ENSG00000249909.1",0,0,0,0,0,0,0,0
"ENSG00000227241.1",0,0,0,0,0,0,0,0
"ENSG00000155636.14",71,449,484,397,571,415,335,381
"ENSG00000223096.1",0,0,0,0,0,0,0,0
"ENSG00000079156.16",94,541,625,587,1072,386,613,334
"ENSG00000223960.6",70,233,201,155,161,151,227,168
"ENSG00000180228.12",212,1192,1699,968,1434,695,1174,961
"ENSG00000204311.13",28,117,48,76,67,102,64,56
"ENSG00000238082.1",1,2,3,3,5,5,2,4
"ENSG00000079150.17",43,264,237,112,219,109,167,112
"ENSG00000116095.10",366,1943,2761,1626,2153,1411,2126,1603
"ENSG00000237298.9",680,920,1202,1692,1489,2047,1113,1893
"ENSG00000155657.26",596,1300,417,1511,5882,1441,2331,311
"ENSG00000270956.1",9,42,73,59,36,49,44,59
"ENSG00000270277.1",47,92,110,138,100,128,95,138
"ENSG00000279598.1",49,144,134,247,177,288,175,238
"ENSG00000271011.1",9,23,26,45,51,77,38,58
"ENSG00000270574.1",33,62,83,124,105,158,118,171
"ENSG00000271141.1",10,42,30,61,36,80,45,71
"ENSG00000271401.1",0,1,6,5,18,18,10,10
"ENSG00000267784.1",0,7,2,12,2,4,3,5
"ENSG00000163492.15",50,203,56,151,769,111,301,45
"ENSG00000238542.1",0,0,0,0,0,0,0,0
"ENSG00000231541.1",0,0,0,0,0,0,0,0
"ENSG00000187231.13",249,1419,1551,1026,1268,1070,1061,1147
"ENSG00000237477.1",0,0,0,1,0,0,0,0
"ENSG00000237964.3",15,2,0,7,0,1,2,5
"ENSG00000144331.19",223,421,568,551,234,247,293,531
"ENSG00000213126.2",0,0,0,0,0,0,0,0
"ENSG00000221240.1",0,0,0,0,0,0,0,0
"ENSG00000280636.1",0,0,0,0,0,0,0,0
"ENSG00000202216.2",0,0,0,0,0,0,0,0
"ENSG00000163510.13",198,1197,1296,1067,1068,918,1144,1076
"ENSG00000270289.1",0,1,0,0,2,4,1,2
"ENSG00000225258.1",0,56,24,25,28,41,33,37
"ENSG00000281131.1",0,241,138,71,137,49,150,55
"ENSG00000279559.1",0,30,11,14,11,5,17,4
"ENSG00000226564.1",6,1,5,3,2,1,4,7
"ENSG00000236667.1",0,0,0,0,0,0,0,0
"ENSG00000170035.15",185,885,1307,846,816,584,1032,768
"ENSG00000236153.1",0,1,2,4,0,0,1,3
"ENSG00000238171.1",0,0,0,0,0,0,0,0
"ENSG00000234663.6",28,22,29,13,26,37,12,48
"ENSG00000266705.1",0,0,0,0,0,0,0,0
"ENSG00000226681.1",0,0,0,0,0,0,0,0
"ENSG00000115232.13",158,499,413,250,289,278,225,444
"ENSG00000188452.13",0,1,8,0,3,4,2,11
"ENSG00000162992.3",0,0,0,0,0,0,0,0
"ENSG00000234595.1",0,0,0,0,0,0,0,0
"ENSG00000225570.1",0,0,0,0,0,0,0,0
"ENSG00000223873.1",0,0,0,0,0,0,0,0
"ENSG00000221023.1",0,0,0,0,0,0,0,0
"ENSG00000260742.1",13,9,19,13,13,7,19,10
"ENSG00000138434.16",956,3762,5034,3485,4514,3271,3367,4307
"ENSG00000150722.10",0,3,1,8,0,6,4,4
"ENSG00000213958.2",2,0,0,0,2,1,1,1
"ENSG00000222418.1",0,0,0,0,0,0,0,0
"ENSG00000115252.18",35,169,228,113,194,123,172,223
"ENSG00000242121.3",0,0,0,0,0,0,0,0
"ENSG00000077232.17",639,4815,12408,4240,11746,4157,6078,6103
"ENSG00000232430.1",0,0,0,0,0,0,0,0
"ENSG00000212404.1",0,0,0,0,0,0,0,0
"ENSG00000162998.4",58,103,65,5,12,77,31,39
"ENSG00000207178.1",0,0,0,0,0,0,0,0
"ENSG00000061676.14",1111,8709,11628,6807,10754,6303,8797,7899
"ENSG00000202141.1",0,19,10,6,5,16,10,33
"ENSG00000221498.1",0,0,0,0,0,0,0,0
"ENSG00000231203.1",2,1,12,4,4,1,4,4
"ENSG00000162999.12",32,269,159,165,213,146,156,77
"ENSG00000224643.5",0,0,0,0,0,0,0,0
"ENSG00000163002.12",43,347,629,313,538,277,335,399
"ENSG00000272800.1",1,16,7,5,10,9,6,29
"ENSG00000213120.3",0,0,0,0,0,0,0,0
"ENSG00000177855.8",1,7,16,3,15,5,5,5
"ENSG00000234172.1",0,0,0,0,0,0,0,0
"ENSG00000266808.1",0,0,0,0,0,0,0,0
"ENSG00000283839.1",0,16,3,0,0,6,5,3
"ENSG00000170396.7",23,83,28,29,8,47,40,22
"ENSG00000237824.2",0,0,0,0,0,0,0,0
"ENSG00000225406.1",0,0,0,0,0,0,0,0
"ENSG00000212581.1",0,5,1,8,8,1,7,2
"ENSG00000226747.6",0,14,7,11,21,23,8,2
"ENSG00000188738.14",20,297,227,514,263,395,526,35
"ENSG00000231646.5",10,43,34,49,43,83,48,32
"ENSG00000224019.1",20,71,51,56,69,68,40,40
"ENSG00000237877.6",21,183,177,203,188,270,162,176
"ENSG00000226410.1",18,21,9,16,13,26,27,21
"ENSG00000232568.2",0,4,6,4,13,21,16,14
"ENSG00000259915.2",4,38,22,35,53,62,31,58
"ENSG00000227692.1",0,0,0,0,0,0,0,0
"ENSG00000065548.17",307,1889,2607,1653,2653,1446,2116,2071
"ENSG00000224323.2",0,0,0,0,0,0,0,0
"ENSG00000138448.11",1459,6227,16882,5299,7441,4517,5003,6518
"ENSG00000227227.1",0,0,0,0,0,0,0,0
"ENSG00000144369.12",37,422,356,217,199,238,155,211
"ENSG00000163012.3",0,0,0,0,0,0,0,0
"ENSG00000226553.1",2,0,1,1,0,0,0,0
"ENSG00000224063.5",1,13,1,7,10,5,1,0
"ENSG00000222845.1",0,0,0,0,0,0,0,0
"ENSG00000199626.1",0,0,0,0,0,0,0,0
"ENSG00000064989.12",72,651,599,466,337,414,222,705
"ENSG00000231739.2",0,0,0,0,0,0,0,0
"ENSG00000003436.15",102,605,566,261,229,379,242,346
"ENSG00000231689.2",0,0,6,11,4,0,3,2
"ENSG00000235616.1",0,0,0,0,0,0,0,0
"ENSG00000213115.2",0,0,0,0,0,0,0,0
"ENSG00000200650.1",0,0,0,0,0,0,0,0
"ENSG00000144366.15",174,1380,3108,1519,1814,1002,1550,1620
"ENSG00000207951.1",5,72,53,102,52,38,67,91
"ENSG00000223523.1",0,0,0,0,0,0,0,0
"ENSG00000174325.5",0,0,0,0,0,0,0,0
"ENSG00000168542.14",3354,8338,3056,1901,1564,2403,2102,2196
"ENSG00000221502.1",0,2,1,0,2,8,0,3
"ENSG00000283238.1",0,0,0,0,0,0,0,0
"ENSG00000284180.1",0,0,0,0,0,0,1,0
"ENSG00000204262.12",431,1207,470,498,323,507,299,339
"ENSG00000228073.1",0,0,0,0,0,0,0,0
"ENSG00000264725.1",0,0,0,0,0,3,0,0
"ENSG00000213601.3",6,12,9,13,2,23,15,5
"ENSG00000115368.9",255,1190,1762,976,1630,1038,1325,1379
"ENSG00000233996.1",0,1,0,0,0,0,0,0
"ENSG00000138449.10",1458,4317,5173,2927,3074,1806,2773,4407
"ENSG00000276828.1",0,0,0,0,0,0,0,0
"ENSG00000138381.9",129,1088,2062,862,1739,965,1394,1431
"ENSG00000151687.14",108,745,715,711,540,589,592,558
"ENSG00000128694.11",66,223,280,174,273,117,202,175
"ENSG00000253559.1",0,5,15,11,15,22,13,9
"ENSG00000273240.1",0,1,2,5,7,4,2,3
"ENSG00000128699.13",137,1190,1555,1137,1924,878,1485,1231
"ENSG00000064933.17",179,760,940,549,1051,652,721,730
"ENSG00000187699.10",73,607,200,245,185,148,139,141
"ENSG00000223824.1",0,0,0,0,0,0,0,0
"ENSG00000204253.4",11,7,22,9,19,9,16,11
"ENSG00000213110.2",1,0,0,0,0,0,0,0
"ENSG00000138379.4",0,11,13,5,28,7,7,10
"ENSG00000198130.15",209,1330,1167,1430,1681,1026,1224,1130
"ENSG00000151689.12",174,339,295,364,243,194,201,486
"ENSG00000151690.14",462,2305,3733,2143,3169,1748,3729,3482
"ENSG00000272979.1",0,3,8,0,0,0,1,0
"ENSG00000189362.11",73,203,183,228,195,156,143,139
"ENSG00000233654.1",0,4,2,8,4,6,0,2
"ENSG00000251935.1",0,0,0,0,0,0,0,0
"ENSG00000284052.1",18,62,30,61,53,65,29,38
"ENSG00000138386.16",515,1967,1783,1999,2030,1292,1461,1788
"ENSG00000228509.5",0,0,0,0,0,0,0,0
"ENSG00000235852.1",0,0,0,0,2,0,1,2
"ENSG00000115419.12",224,1971,2078,1755,2633,1680,1837,2098
"ENSG00000115415.18",3388,8298,6621,4897,10234,3807,9389,6179
"ENSG00000229023.1",17,13,4,15,12,8,22,18
"ENSG00000230686.1",0,0,0,0,0,0,0,0
"ENSG00000231858.5",0,0,0,0,0,0,0,0
"ENSG00000138378.18",78,93,96,105,76,118,95,163
"ENSG00000207402.1",0,0,0,0,0,0,0,0
"ENSG00000280083.1",0,2,16,5,4,14,6,1
"ENSG00000230611.1",0,0,0,0,0,0,0,0
"ENSG00000227542.1",0,12,17,15,16,18,4,3
"ENSG00000128641.18",668,1981,5559,2612,4689,1872,1816,2354
"ENSG00000252130.1",0,0,2,10,3,2,7,2
"ENSG00000173559.12",168,326,402,515,212,535,318,810
"ENSG00000274845.1",0,0,0,0,0,0,0,0
"ENSG00000225884.2",0,0,0,0,0,0,0,0
"ENSG00000168497.4",314,1261,1019,658,893,641,745,587
"ENSG00000233766.7",6,9,7,13,22,69,10,7
"ENSG00000213946.3",0,0,0,0,0,0,0,0
"ENSG00000144339.11",558,1937,6386,2833,14050,17735,6574,1047
"ENSG00000229395.1",0,0,0,0,0,1,0,0
"ENSG00000232227.5",0,0,1,0,0,0,0,0
"ENSG00000227418.6",24,218,1552,46,1800,2209,605,110
"ENSG00000226242.1",0,11,44,3,111,145,12,5
"ENSG00000278406.1",0,0,0,0,0,0,0,0
"ENSG00000232658.1",0,0,0,0,0,0,0,0
"ENSG00000235218.2",0,0,0,0,0,0,0,0
"ENSG00000224219.1",0,0,0,0,0,0,0,0
"ENSG00000260142.1",0,0,0,0,0,0,0,0
"ENSG00000224670.1",0,0,0,0,0,0,0,0
"ENSG00000215043.2",0,0,0,0,0,0,0,0
"ENSG00000236695.1",4,0,0,0,0,1,0,0
"ENSG00000225539.5",0,1,0,0,2,0,0,2
"ENSG00000225394.1",0,0,2,1,0,0,0,0
"ENSG00000276123.1",0,0,0,0,1,1,2,0
"ENSG00000252517.1",0,3,0,0,6,0,1,0
"ENSG00000230173.1",0,0,0,0,0,0,0,0
"ENSG00000235056.1",6,11,5,7,16,14,12,3
"ENSG00000224099.1",3,5,15,3,16,12,6,8
"ENSG00000271893.1",0,35,0,4,10,21,15,0
"ENSG00000202206.1",0,0,0,0,0,0,0,0
"ENSG00000223466.1",0,0,2,0,4,0,1,0
"ENSG00000234919.1",0,0,0,0,0,0,0,0
"ENSG00000196950.13",340,6066,10840,3153,12387,5980,7460,2687
"ENSG00000213107.2",0,0,0,0,0,0,0,0
"ENSG00000201813.1",0,0,0,0,0,0,0,0
"ENSG00000118997.13",65,705,1141,386,1302,1345,2154,1012
"ENSG00000203435.2",0,16,15,11,15,42,50,24
"ENSG00000227878.2",0,4,0,5,2,11,12,0
"ENSG00000081320.10",349,2020,3448,2066,3084,1320,2138,3116
"ENSG00000272211.1",0,0,0,0,0,0,1,0
"ENSG00000138411.12",46,96,170,148,97,101,40,152
"ENSG00000229056.2",2,519,780,677,2081,547,1232,953
"ENSG00000276200.1",0,0,1,0,0,0,2,1
"ENSG00000282836.1",0,0,0,0,0,0,0,1
