"","SYMBOL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000233913","RPL10P9",589.557799495019,-6.25859988162152,0.444401477431349,-14.0832112390723,4.81701832978508e-45,9.53528778380957e-41
"ENSG00000230076","RPL10P6",188.817922254235,-5.90225996607079,0.523743605649301,-11.2693690240926,1.8589728527643e-29,1.83991838102347e-25
"ENSG00000259479","SORD2P",1618.88455102166,-3.10198496600346,0.431801110363203,-7.18382813651005,6.77860668609978e-13,4.47275064504484e-09
"ENSG00000130304","SLC27A1",346.742334703415,-1.17498797692932,0.165487131166639,-7.10017732887128,1.24596913674887e-12,6.16598976548598e-09
"ENSG00000128482","RNF112",62.1789351531752,-2.7637840266711,0.43018416050887,-6.42465316110612,1.32170525213891e-10,4.95198736097242e-07
"ENSG00000105559","PLEKHA4",105.422785823178,-1.72441343124152,0.269217684623624,-6.40527546937456,1.500981266271e-10,4.95198736097242e-07
"ENSG00000132872","SYT4",602.640490938151,7.01271678332493,1.1045403784555,6.34899087449473,2.16731888250039e-10,6.0658367793834e-07
"ENSG00000206585","RNVU1-7",527.080260581023,-5.35081314937931,0.845308875193318,-6.33000942780307,2.45146219929615e-10,6.0658367793834e-07
"ENSG00000126705","AHDC1",220.244323471889,-1.60486473942636,0.259142345901651,-6.19298530250794,5.90352359905624e-10,1.29844721825909e-06
"ENSG00000206596","RNU1-27P",433.952898972328,-5.13239200111724,0.839080033924487,-6.11668946180542,9.55392837735385e-10,1.89120012229719e-06
"ENSG00000162368","CMPK1",4121.95140991572,1.37344098492609,0.227124039951363,6.04709649062337,1.47479440309731e-09,2.65395956448283e-06
"ENSG00000100626","GALNT16",106.72339459035,-1.67561440281994,0.284645151990375,-5.88667817141182,3.94034935652805e-09,6.49993462603939e-06
"ENSG00000025708","TYMP",148.761738319851,-1.30504255382343,0.223741297130146,-5.83281928979036,5.44985825132715e-09,8.2984572373093e-06
"ENSG00000232040","ZBED9",409.394131164259,1.46593849061999,0.260034227408581,5.63748282381542,1.72553809597052e-08,2.43978761498118e-05
