"","M_B_RNA1","M_B_RNA2","M_B_RNA4","N_W_RNA7","M_B_RNA8","M_B_RNA9","N_W_RNA13","N_W_RNA15","N_W_RNA18","M_B_RNA19","M_B_RNA20"
"ENSG00000230415.1",2,18,9,3,9,31,12,13,13,9,13
"ENSG00000162572.20",10,43,42,17,27,93,66,38,37,29,37
"ENSG00000131584.18",88,393,117,197,159,791,320,316,285,237,165
"ENSG00000278073.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000169972.11",52,74,58,120,104,113,127,131,112,110,86
"ENSG00000127054.20",490,826,315,1205,964,1135,1264,1315,1168,960,595
"ENSG00000283712.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240731.1",6,12,35,21,32,67,57,40,48,50,36
"ENSG00000224051.6",113,127,79,220,148,187,226,208,144,198,114
"ENSG00000169962.4",0,0,17,7,3,6,6,8,1,0,2
"ENSG00000107404.19",185,395,227,520,323,1120,533,553,329,455,272
"ENSG00000284372.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162576.16",54,140,45,172,85,253,152,60,91,25,84
"ENSG00000175756.13",160,210,114,660,372,220,413,539,444,362,209
"ENSG00000223663.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000221978.11",683,1417,653,2070,1887,3883,3193,2555,2901,2780,2424
"ENSG00000224870.6",123,168,101,568,340,160,314,539,436,311,258
"ENSG00000242485.5",367,458,382,1580,1195,316,718,1487,1031,866,673
"ENSG00000264293.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272455.1",6,37,1,34,17,74,37,47,45,55,34
"ENSG00000235098.8",63,73,14,186,99,16,121,140,112,3,91
"ENSG00000225905.1",13,3,4,8,4,0,7,8,3,1,2
"ENSG00000205116.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225285.1",15,24,0,16,12,38,24,24,26,24,15
"ENSG00000179403.11",733,1080,1166,1562,1233,1469,1553,2103,1663,758,592
"ENSG00000215915.9",44,57,21,53,24,29,58,25,65,57,52
"ENSG00000160072.19",86,270,89,233,309,616,361,156,364,270,187
"ENSG00000284740.1",4,0,0,5,2,4,5,9,6,3,3
"ENSG00000197785.13",66,140,69,183,69,275,188,199,198,142,98
"ENSG00000205090.8",5,3,0,7,5,8,6,8,5,3,8
"ENSG00000160075.11",644,725,484,2363,1676,977,1330,2087,1660,1759,1281
"ENSG00000215014.5",2,2,6,30,15,8,9,16,17,36,13
"ENSG00000274481.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228594.3",4,9,0,25,6,3,8,10,16,56,7
"ENSG00000272106.1",62,94,59,172,163,24,154,157,186,188,107
"ENSG00000197530.12",65,291,83,159,100,390,332,197,210,196,120
"ENSG00000189409.13",0,0,0,0,1,4,1,0,1,0,0
"ENSG00000248333.8",145,326,53,310,268,423,385,440,378,364,221
"ENSG00000272004.1",2,0,0,3,3,4,8,6,9,5,19
"ENSG00000189339.11",492,544,373,998,930,1168,1378,1105,1358,1465,944
"ENSG00000269737.2",0,0,0,1,0,0,3,2,0,1,0
"ENSG00000215914.4",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008128.22",16,20,26,31,30,88,49,39,26,21,15
"ENSG00000268575.1",41,40,11,110,99,147,137,103,143,185,32
"ENSG00000227775.3",2,1,0,0,0,2,4,3,2,2,0
"ENSG00000215790.7",209,342,121,900,378,455,627,1009,360,763,202
"ENSG00000008130.15",412,495,189,1080,662,368,897,1232,877,794,460
"ENSG00000078369.17",3000,2547,2447,9352,6967,1773,6257,9454,5934,4851,4835
"ENSG00000231050.1",10,10,0,5,7,22,13,11,4,15,7
"ENSG00000169885.9",1,30,0,4,3,4,10,4,1,6,2
"ENSG00000178821.12",8,0,10,5,16,4,12,10,12,12,4
"ENSG00000142609.18",0,0,0,6,7,0,11,26,12,114,7
"ENSG00000233542.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000187730.8",0,0,0,4,0,2,0,4,5,13,2
"ENSG00000226969.1",0,0,0,0,0,1,0,1,0,0,0
"ENSG00000067606.16",333,494,89,801,547,336,764,952,755,435,568
"ENSG00000271806.1",0,1,0,0,0,0,2,0,0,0,0
"ENSG00000182873.5",7,33,0,8,8,11,17,17,9,10,16
"ENSG00000162585.16",57,174,22,127,101,213,192,205,160,144,135
"ENSG00000234396.3",3,0,0,2,1,0,2,2,1,3,0
"ENSG00000157933.9",380,654,362,962,990,710,1417,1445,881,1047,915
"ENSG00000116151.13",97,151,53,179,157,158,281,313,251,236,213
"ENSG00000272161.1",0,0,0,0,0,0,5,0,0,0,0
"ENSG00000269896.2",17,33,0,43,37,24,65,62,91,60,60
"ENSG00000272420.1",0,3,0,5,8,0,3,6,9,4,14
"ENSG00000157916.19",773,749,577,2842,2277,538,1929,3111,2204,1596,1374
"ENSG00000157911.10",232,365,189,582,518,113,485,743,387,443,325
"ENSG00000149527.17",240,793,120,311,310,327,886,578,545,252,624
"ENSG00000224387.1",0,0,0,0,0,0,1,0,0,1,0
"ENSG00000229393.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000157881.13",153,213,72,381,319,164,297,389,275,177,280
"ENSG00000197921.5",3,6,0,0,3,1,1,0,0,0,1
"ENSG00000272449.2",4,5,0,0,5,3,12,9,3,9,0
"ENSG00000238164.6",35,114,41,93,33,37,160,105,90,57,106
"ENSG00000157873.17",389,790,291,702,513,418,1003,1023,678,432,617
"ENSG00000225931.3",5,0,0,0,3,1,4,6,9,1,3
"ENSG00000228037.1",2,0,1,2,0,1,2,4,1,0,5
"ENSG00000157870.15",209,258,72,311,240,43,354,453,314,112,209
"ENSG00000142606.15",32,52,4,58,46,9,61,44,36,14,28
"ENSG00000237058.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000215912.12",22,52,0,14,14,13,34,37,37,3,48
"ENSG00000285945.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283259.1",0,0,0,0,0,0,0,2,0,0,0
"ENSG00000233234.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231630.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284745.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000169717.6",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000177133.10",0,0,0,0,0,3,0,5,3,0,1
"ENSG00000142611.16",5,53,0,14,0,13,24,13,20,2,21
"ENSG00000283572.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226286.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000279839.1",0,0,0,1,0,0,1,0,2,0,1
"ENSG00000272235.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000130762.14",135,312,92,560,375,232,473,382,373,463,333
"ENSG00000272088.1",0,0,0,3,2,0,0,3,3,2,4
"ENSG00000162591.15",238,665,213,491,318,302,1000,459,460,150,298
"ENSG00000207776.1",1,0,0,0,0,0,0,3,0,0,1
"ENSG00000238260.1",3,6,0,2,1,3,5,6,0,1,3
"ENSG00000158109.14",450,344,264,1318,1000,346,748,1363,975,741,821
"ENSG00000116213.15",104,133,68,309,234,120,252,288,297,159,232
"ENSG00000078900.14",104,157,39,111,119,28,271,137,125,23,245
"ENSG00000227589.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235131.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227372.12",193,366,85,407,237,165,479,460,392,400,419
"ENSG00000276189.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162592.9",0,0,0,0,0,0,1,2,0,0,0
"ENSG00000235169.8",14,4,11,19,14,22,22,20,12,18,4
"ENSG00000130764.9",387,376,176,1134,717,348,875,1063,751,630,608
"ENSG00000266075.2",0,0,0,1,2,2,5,6,0,3,2
"ENSG00000272153.1",6,0,22,2,5,2,3,3,2,2,5
"ENSG00000116198.12",426,500,204,1581,1017,442,1171,1505,1181,975,954
"ENSG00000169598.15",49,69,72,166,100,78,101,133,86,93,117
"ENSG00000198912.10",145,167,95,486,387,106,279,412,367,327,446
"ENSG00000236423.5",7,8,0,26,11,25,18,29,15,36,9
"ENSG00000233304.6",0,0,0,1,0,2,0,1,0,0,2
"ENSG00000226374.2",0,0,3,0,0,0,0,4,0,0,1
"ENSG00000284668.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284703.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229280.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235054.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284694.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227169.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232596.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000196581.10",10,9,63,162,33,36,55,124,54,4,8
"ENSG00000284739.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284674.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231510.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284616.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284692.2",2,4,0,0,0,0,2,2,0,0,2
"ENSG00000284666.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260972.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283356.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236948.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264341.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264101.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000131697.17",108,174,63,206,146,194,324,266,257,336,177
"ENSG00000069424.14",31,73,21,110,35,82,106,88,97,70,105
"ENSG00000116254.17",8,42,39,8,10,12,31,12,9,5,7
"ENSG00000285629.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000116251.10",829,584,563,3591,2194,545,2037,2939,2344,2140,2297
"ENSG00000226944.1",0,5,0,7,5,1,2,6,3,3,0
"ENSG00000158286.12",170,388,262,271,255,344,529,263,572,236,428
"ENSG00000116237.15",707,583,615,3745,2273,384,1644,2535,2115,1362,1545
"ENSG00000225077.3",0,0,0,1,0,3,2,0,1,3,2
"ENSG00000173673.7",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000158292.6",23,63,0,74,29,40,40,37,62,9,122
"ENSG00000097021.19",57,138,46,136,92,75,122,194,116,77,104
"ENSG00000271746.1",9,3,5,8,2,0,7,11,3,2,4
"ENSG00000069812.11",43,65,28,133,126,43,125,341,110,84,146
"ENSG00000187017.16",18,106,52,45,23,200,85,74,87,7,42
"ENSG00000265392.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231868.1",0,0,0,0,3,1,0,0,0,0,1
"ENSG00000215788.10",25,85,6,32,23,35,89,54,52,8,76
"ENSG00000171680.21",83,301,91,169,100,128,248,237,225,64,247
"ENSG00000162408.10",287,325,222,1611,832,375,954,1134,1276,916,1071
"ENSG00000253022.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229519.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000173662.20",0,0,0,0,2,0,0,2,4,1,3
"ENSG00000204859.12",234,300,94,507,342,302,464,599,435,409,422
"ENSG00000162413.16",419,466,529,855,578,458,725,721,567,275,884
"ENSG00000116273.5",189,254,179,587,390,193,492,530,628,294,563
"ENSG00000041988.15",91,149,71,252,192,110,201,242,165,123,139
"ENSG00000007923.15",288,493,154,1096,629,362,867,1023,970,926,628
"ENSG00000228750.6",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284744.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237436.1",3,0,0,3,9,4,1,0,2,13,4
"ENSG00000171735.18",223,164,45,753,614,158,463,539,766,652,783
