"","M_W_RNA6","N_W_RNA7","M_W_RNA12","N_W_RNA13","M_W_RNA14","N_W_RNA15","M_W_RNA16","M_W_RNA17","N_W_RNA18"
"ENSG00000162576.16",152,172,19,152,237,60,114,112,91
"ENSG00000175756.13",773,660,122,413,297,539,417,372,444
"ENSG00000223663.2",0,0,0,0,0,0,0,0,0
"ENSG00000221978.11",2074,2070,734,3193,2315,2555,2103,2153,2901
"ENSG00000224870.6",551,568,177,314,232,539,409,331,436
"ENSG00000242485.5",1538,1580,953,718,608,1487,1144,1077,1031
"ENSG00000264293.2",0,0,0,0,0,0,0,0,0
"ENSG00000272455.1",39,34,23,37,36,47,60,38,45
"ENSG00000235098.8",26,186,6,121,129,140,62,153,112
"ENSG00000225905.1",3,8,0,7,3,8,9,9,3
"ENSG00000205116.3",0,0,0,0,0,0,0,0,0
"ENSG00000225285.1",21,16,4,24,18,24,8,18,26
"ENSG00000179403.11",1812,1562,392,1553,1799,2103,1460,885,1663
"ENSG00000215915.9",23,53,28,58,101,25,1,89,65
"ENSG00000160072.19",304,233,70,361,404,156,65,187,364
"ENSG00000284740.1",13,5,0,5,7,9,8,4,6
"ENSG00000197785.13",246,183,162,188,175,199,154,140,198
"ENSG00000205090.8",3,7,0,6,4,8,3,4,5
"ENSG00000160075.11",2698,2363,1841,1330,1173,2087,1705,1710,1660
"ENSG00000215014.5",46,30,31,9,3,16,12,35,17
"ENSG00000274481.1",0,0,0,0,0,0,0,0,0
"ENSG00000228594.3",64,25,20,8,7,10,42,9,16
"ENSG00000272106.1",157,172,117,154,92,157,154,176,186
"ENSG00000197530.12",200,159,67,332,281,197,76,120,210
"ENSG00000189409.13",0,0,0,1,1,0,0,1,1
"ENSG00000248333.8",345,310,381,385,412,440,227,294,378
"ENSG00000272004.1",6,3,26,8,8,6,9,11,9
"ENSG00000189339.11",938,998,587,1378,901,1105,1388,1144,1358
"ENSG00000269737.2",0,1,0,3,0,2,0,0,0
"ENSG00000215914.4",0,0,0,0,0,0,0,0,0
"ENSG00000008128.22",20,31,8,49,24,39,10,23,26
"ENSG00000268575.1",100,110,27,137,104,103,95,135,143
"ENSG00000227775.3",3,0,0,4,2,3,1,0,2
"ENSG00000215790.7",842,900,281,627,374,1009,1059,400,360
"ENSG00000008130.15",1392,1080,513,897,642,1232,916,812,877
"ENSG00000078369.17",10054,9352,6136,6257,4646,9454,5543,6276,5934
"ENSG00000231050.1",24,5,15,13,6,11,10,8,4
"ENSG00000169885.9",3,4,0,10,9,4,1,6,1
"ENSG00000178821.12",24,5,0,12,1,10,26,5,12
"ENSG00000142609.18",15,6,0,11,19,26,2,6,12
"ENSG00000233542.1",0,0,0,0,0,0,0,0,0
"ENSG00000187730.8",6,4,0,0,2,4,0,0,5
"ENSG00000226969.1",0,0,0,0,1,1,0,2,0
"ENSG00000067606.16",710,801,396,764,659,952,436,513,755
"ENSG00000271806.1",0,0,0,2,2,0,0,3,0
"ENSG00000182873.5",3,8,0,17,12,17,1,6,9
"ENSG00000162585.16",151,127,59,192,195,205,42,115,160
"ENSG00000234396.3",0,2,13,2,0,2,0,0,1
"ENSG00000157933.9",1337,962,975,1417,1078,1445,691,735,881
"ENSG00000116151.13",196,179,51,281,244,313,123,196,251
"ENSG00000272161.1",0,0,0,5,6,0,0,0,0
"ENSG00000269896.2",27,43,5,65,50,62,39,41,91
"ENSG00000272420.1",5,5,0,3,6,6,5,5,9
"ENSG00000157916.19",2432,2842,1881,1929,1471,3111,2076,2410,2204
"ENSG00000157911.10",828,582,452,485,405,743,663,626,387
"ENSG00000149527.17",103,311,106,886,756,578,46,540,545
"ENSG00000224387.1",0,0,0,1,1,0,0,0,0
"ENSG00000229393.1",0,0,0,0,0,0,0,0,0
"ENSG00000157881.13",301,381,93,297,275,389,236,306,275
"ENSG00000197921.5",0,0,0,1,0,0,0,1,0
"ENSG00000272449.2",6,0,0,12,5,9,2,5,3
"ENSG00000238164.6",66,93,26,160,187,105,17,65,90
"ENSG00000157873.17",692,702,99,1003,936,1023,201,547,678
"ENSG00000225931.3",2,0,0,4,3,6,0,1,9
"ENSG00000228037.1",1,2,0,2,8,4,0,9,1
"ENSG00000157870.15",140,311,23,354,300,453,181,320,314
"ENSG00000142606.15",30,58,0,61,86,44,3,49,36
"ENSG00000237058.1",0,0,0,0,0,0,0,0,0
"ENSG00000215912.12",6,14,0,34,36,37,10,22,37
"ENSG00000285945.1",0,0,0,0,0,0,0,0,0
"ENSG00000283259.1",0,0,0,0,0,2,0,1,0
"ENSG00000233234.1",0,0,0,0,0,0,0,0,0
"ENSG00000231630.1",0,0,0,0,0,0,0,0,0
"ENSG00000284745.1",0,0,0,0,0,0,0,0,0
"ENSG00000169717.6",0,0,0,0,0,0,0,0,0
"ENSG00000177133.10",0,0,0,0,2,5,0,0,3
"ENSG00000142611.16",3,14,6,24,12,13,5,12,20
"ENSG00000283572.1",0,0,0,0,0,0,0,0,0
"ENSG00000226286.1",0,0,0,0,0,0,0,2,0
"ENSG00000279839.1",0,1,0,1,1,0,0,0,2
"ENSG00000272235.1",0,0,0,0,0,0,0,0,0
"ENSG00000130762.14",661,560,116,473,422,382,162,319,373
"ENSG00000272088.1",4,3,0,0,2,3,3,1,3
