"","M_B_RNA1","M_B_RNA2","M_B_RNA4","M_W_RNA6","M_B_RNA8","M_B_RNA9","M_W_RNA12","M_W_RNA14","M_W_RNA16","M_W_RNA17","M_B_RNA19","M_B_RNA20"
"ENSG00000078808.16",837,1179,837,2785,1975,1421,1631,1835,1073,1544,1615,1179
"ENSG00000176022.5",71,101,87,458,233,125,207,118,384,171,292,175
"ENSG00000184163.3",0,4,0,3,1,6,0,4,0,1,5,1
"ENSG00000260179.1",2,5,0,0,3,14,5,8,0,1,2,5
"ENSG00000160087.20",164,201,65,570,371,340,198,307,437,399,436,361
"ENSG00000230415.1",2,18,9,4,9,31,0,10,7,8,9,13
"ENSG00000162572.20",10,43,42,31,27,93,0,46,24,12,29,37
"ENSG00000131584.18",88,393,117,273,159,791,110,361,198,228,237,165
"ENSG00000278073.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000169972.11",52,74,58,145,104,113,17,104,86,88,110,86
"ENSG00000127054.20",490,826,315,1348,964,1135,380,1032,1102,792,960,595
"ENSG00000283712.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240731.1",6,12,35,45,32,67,1,38,16,27,50,36
"ENSG00000224051.6",113,127,79,285,148,187,104,161,154,125,198,114
"ENSG00000169962.4",0,0,17,0,3,6,11,5,0,2,0,2
"ENSG00000107404.19",185,395,227,894,323,1120,171,430,482,273,455,272
"ENSG00000284372.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162576.16",54,140,45,152,85,253,19,237,114,112,25,84
"ENSG00000175756.13",160,210,114,773,372,220,122,297,417,372,362,209
"ENSG00000223663.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000221978.11",683,1417,653,2074,1887,3883,734,2315,2103,2153,2780,2424
"ENSG00000224870.6",123,168,101,551,340,160,177,232,409,331,311,258
"ENSG00000242485.5",367,458,382,1538,1195,316,953,608,1144,1077,866,673
"ENSG00000264293.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272455.1",6,37,1,39,17,74,23,36,60,38,55,34
"ENSG00000235098.8",63,73,14,26,99,16,6,129,62,153,3,91
"ENSG00000225905.1",13,3,4,3,4,0,0,3,9,9,1,2
"ENSG00000205116.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225285.1",15,24,0,21,12,38,4,18,8,18,24,15
"ENSG00000179403.11",733,1080,1166,1812,1233,1469,392,1799,1460,885,758,592
"ENSG00000215915.9",44,57,21,23,24,29,28,101,1,89,57,52
"ENSG00000160072.19",86,270,89,304,309,616,70,404,65,187,270,187
