"","SYMBOL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000233913","RPL10P9",667.823507732063,-6.73251437406261,0.341471937016008,-19.7161571545102,1.5669100392973e-86,3.17926046973422e-82
"ENSG00000230076","RPL10P6",214.228186893786,-6.62322282272781,0.516315749143508,-12.8278535638604,1.14492293267836e-37,1.1615243152022e-33
"ENSG00000196436","NPIPB15",129.742258245362,-7.06082012190603,0.960103675274787,-7.35422674002908,1.92035522546923e-13,1.11751176901129e-09
"ENSG00000259479","SORD2P",1818.93999068041,-3.16763125212809,0.43180114408603,-7.33585655228598,2.20307889405874e-13,1.11751176901129e-09
"ENSG00000170160","CCDC144A",95.7617486936676,5.70440755966681,0.841099012849308,6.7820880449527,1.18451245094657e-11,4.80675152594117e-08
"ENSG00000273768","U1",294.71839670605,-5.04418316964801,0.880611376613547,-5.72804679068055,1.0159354817863e-08,3.31711933964826e-05
"ENSG00000225255","LINC01297",237.743290023045,2.39524125804435,0.419642860859319,5.70780890478995,1.14439799790724e-08,3.31711933964826e-05
"ENSG00000206596","RNU1-27P",487.203241527925,-4.9144464485384,0.867263900117445,-5.66661018390467,1.45650184358019e-08,3.69405280078026e-05
"ENSG00000263934","SNORD3A",399.421288530135,-2.11870425766049,0.409534683850101,-5.17344279058909,2.29819511632698e-07,0.000466303789102744
"ENSG00000132967","HMGB1P5",81.2460304816766,-3.25532545759164,0.637112915179839,-5.1094953186952,3.230204940358e-07,0.000595825983998762
"ENSG00000206585","RNVU1-7",595.64352294479,-4.16641574998102,0.827782449327204,-5.03322552123128,4.82295183095149e-07,0.000815480772083382
"ENSG00000206737","RNVU1-18",125.837655165482,-4.71599133211111,0.949920925565118,-4.96461463811371,6.88376159284645e-07,0.00107439632860657
"ENSG00000113361","CDH6",133.16719450164,3.45204880854747,0.73220584798575,4.7145878690314,2.42200469654815e-06,0.00289073384076247
"ENSG00000146477","SLC22A3",2509.74207063153,2.53111843543495,0.539272913714987,4.69357605594981,2.68470112201452e-06,0.0030262547647597
"ENSG00000107295","SH3GL2",86.7393785576077,2.47388543876525,0.549910684949484,4.49870407408524,6.83689475725141e-06,0.00686799305384935
"ENSG00000239899","RN7SL674P",1202.15889109039,-2.23963500595181,0.50447479175615,-4.43953799585369,9.01521981245585e-06,0.00796370864344752
"ENSG00000215030","RPL13P12",153.986353977458,-1.67898596367146,0.379228101575037,-4.42737749839258,9.53857121532319e-06,0.00796370864344752
"ENSG00000077092","RARB",395.759828216777,-0.865821776971567,0.195831118354016,-4.42126759142727,9.81235663312903e-06,0.00796370864344752
"ENSG00000241529","RN7SL767P",229.704334462075,-1.86281301710814,0.425452365233691,-4.37842910118725,1.19537815260867e-05,0.00898304545052962
"ENSG00000250853","RNF138P1",887.020392876973,1.84319985537139,0.426026053461883,4.32649562249437,1.51500329274846e-05,0.0109783631463808
"ENSG00000269028","MTRNR2L12",3978.74136251872,-2.46477530284346,0.576976570754864,-4.27188109149523,1.93830931057199e-05,0.013561481348795
"ENSG00000169047","IRS1",1468.36408115988,0.864332444650791,0.203535884870443,4.24658504420959,2.17053415484226e-05,0.0142064961295966
"ENSG00000229314","ORM1",1636.44369583006,8.22364783091536,1.94982581456489,4.21763204153213,2.46881254254049e-05,0.014901085182283
"ENSG00000107562","CXCL12",450.707380817947,-2.13940449512569,0.508350064224834,-4.20852606439226,2.57041883380928e-05,0.014901085182283
"ENSG00000225972","MTND1P23",330.281318394224,-7.54985440830808,1.80922836675232,-4.17296928737667,3.00655483069789e-05,0.0169452770874612
"ENSG00000206195","DUXAP8",170.052194502735,2.32511845651652,0.56355943759074,4.12577325730997,3.69491171614138e-05,0.0199217391977624
"ENSG00000206588","RNU1-28P",82.0828462291271,-3.54610109404424,0.86061772323621,-4.12041374271229,3.78192638113816e-05,0.0199217391977624
"ENSG00000232573","RPL3P4",200.214999668923,-2.63380305240714,0.640835351289973,-4.10995280941572,3.95739983115446e-05,0.020073910643531
"ENSG00000222036","POTEM",236.816039326602,2.63556838946049,0.647482009218148,4.07048898955974,4.6914558555843e-05,0.0232169851975135
"ENSG00000163810","TGM4",2181.84281042874,3.16347594264826,0.779261382725131,4.05958259035674,4.91605175093204e-05,0.0237492119110503
"ENSG00000244264","RN7SL597P",57.5299412100939,-2.8865511868696,0.71275006453645,-4.04987853455603,5.12442243974576e-05,0.0241801235587073
"ENSG00000240869","RN7SL128P",1280.03141692338,-2.41478228499656,0.605350549584236,-3.98906433083289,6.6334431686197e-05,0.0299094581980653
"ENSG00000265735","RN7SL5P",3092.38353414415,-1.60620457306877,0.405857181071628,-3.95756105344185,7.57189375423251e-05,0.0333986357116038
"ENSG00000200488","RN7SKP203",580.315598086944,-1.33665887249944,0.339624988464337,-3.93569059374379,8.29577962403249e-05,0.0358130571428977
"ENSG00000150594","ADRA2A",62.2068577769636,-2.89361767543252,0.743639607209106,-3.89115594083581,9.97677847022387e-05,0.0418099242799287
"ENSG00000201428","RN7SKP71",438.404796232718,-2.54221434542597,0.657543368255443,-3.86623068250362,0.00011053039607355,0.0448532347266467
"ENSG00000024526","DEPDC1",233.631207410124,3.13179865084081,0.812789349773543,3.85314922213656,0.000116608274778452,0.0463918018677411
"ENSG00000256045","MTRNR2L10",142.76120981982,-2.40706020149847,0.629347977635288,-3.82468886377097,0.000130937339441806,0.0500258985407537
"ENSG00000198062","POTEH",1820.67469082753,1.83162488498363,0.481314849089616,3.80546099595319,0.000141540318824172,0.0500258985407537
