"","SYMBOL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000068079","IFI35",325.875308069092,0.429742755443666,0.160113541049251,2.6839875792359,0.00727498089638352,0.998304629206928
"ENSG00000198727","MT-CYB",16478.5045930025,-1.45855498466271,0.543725394112286,-2.68252136180621,0.00730694850349382,0.998304629206928
"ENSG00000278970","HEIH",237.682680496707,0.622519945160898,0.232668585226527,2.67556509425117,0.00746033841670634,0.998304629206928
"ENSG00000225828","FAM229A",68.0600194424575,-1.1871054877399,0.443867037253686,-2.67446191788608,0.00748492766369195,0.998304629206928
"ENSG00000184956","MUC6",111.089176231261,-3.94515292980972,1.47577355824887,-2.67327796175652,0.00751139828639976,0.998304629206928
"ENSG00000279117","CTD-2562J17.6",225.811948538132,-0.775107744974607,0.290028560166551,-2.67252212861208,0.00752834090251103,0.998304629206928
"ENSG00000132423","COQ3",73.122968220955,1.17027374622588,0.439225411318648,2.66440355240938,0.00771249788585489,0.998304629206928
"ENSG00000146263","MMS22L",347.448558592668,0.691404998125327,0.25953068081455,2.66405881553317,0.00772040629170233,0.998304629206928
"ENSG00000124839","RAB17",259.306200876099,-1.63933238959438,0.615552805434198,-2.66318726049511,0.00774043254368854,0.998304629206928
"ENSG00000137673","MMP7",2274.89119391075,-1.89677252354779,0.713986816969183,-2.65659320097734,0.00789346286549172,0.998304629206928
"ENSG00000105662","CRTC1",204.484492290032,-1.0526732017588,0.396925641895726,-2.65206650981582,0.00800007814558663,0.998304629206928
"ENSG00000165949","IFI27",221.0550124052,0.804035599402312,0.305159756000795,2.63480220963414,0.00841863238039207,0.998304629206928
"ENSG00000131471","AOC3",640.08607660915,0.999654026295133,0.380388922297803,2.62797880720752,0.00858938667542351,0.998304629206928
"ENSG00000262576","PCDHGA4",108.81663939196,-2.40210675721474,0.914364139214146,-2.62707892205751,0.00861213569441929,0.998304629206928
"ENSG00000150594","ADRA2A",56.3305332343786,-2.08538475493494,0.796097261775107,-2.61951002103064,0.00880561854978476,0.998304629206928
"ENSG00000175548","ALG10B",346.048547631864,0.90949186527123,0.348679306513085,2.60839071399581,0.00909690544682746,0.998304629206928
"ENSG00000198886","MT-ND4",25234.7810145235,-1.50900394069859,0.579456230491551,-2.60417243148547,0.00920964095731594,0.998304629206928
"ENSG00000126950","TMEM35A",127.818941357794,1.43186161929502,0.55152558154954,2.59618350842789,0.00942657046966271,0.998304629206928
"ENSG00000101746","NOL4",120.176059576382,-3.36099207637119,1.29523947844421,-2.59488081725882,0.00946237244190855,0.998304629206928
"ENSG00000206737","RNVU1-18",140.097111704032,-2.36844126298555,0.913810036939944,-2.59183108878591,0.00954666310974077,0.998304629206928
"ENSG00000198919","DZIP3",793.235349383162,0.502765578157211,0.194164254347377,2.58938278751205,0.00961481491349689,0.998304629206928
"ENSG00000248527","MTATP6P1",1334.75638858648,-1.35365894042891,0.523459329954084,-2.58598684361524,0.00971006367954138,0.998304629206928
"ENSG00000108691","CCL2",332.292904233094,-1.09515687086494,0.423528816235826,-2.58579069211467,0.00971559090309345,0.998304629206928
"ENSG00000077254","USP33",2115.20820314828,0.359198026237047,0.13940058897868,2.5767324863454,0.00997391078059194,0.998304629206928
"ENSG00000163704","PRRT3",113.395732113001,-1.12012863940241,0.436248348235108,-2.56763984077881,0.0102393479997818,0.998304629206928
"ENSG00000107018","RLN1",2227.83129773411,-2.98421044875727,1.16354676536443,-2.56475333659888,0.0103249175538479,0.998304629206928
"ENSG00000180867","PDIA3P1",117.162159025506,-0.794437963818758,0.312078823863239,-2.54563239499679,0.0109079990788157,0.998304629206928
"ENSG00000279312","RP3-331H24.7",56.421922946984,-1.44524718391601,0.568554866242218,-2.54196607878527,0.0110230870856552,0.998304629206928
