"","M_B_RNA1","M_B_RNA2","N_B_RNA3","M_B_RNA4","N_B_RNA5","M_B_RNA8","M_B_RNA9","N_B_RNA10","N_B_RNA11","M_B_RNA19","M_B_RNA20"
"ENSG00000230415.1",2,18,3,9,3,9,31,10,28,9,13
"ENSG00000162572.20",10,43,9,42,24,27,93,30,40,29,37
"ENSG00000131584.18",88,393,139,117,261,159,791,303,215,237,165
"ENSG00000278073.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000169972.11",52,74,41,58,153,104,113,164,104,110,86
"ENSG00000127054.20",490,826,512,315,1036,964,1135,903,1360,960,595
"ENSG00000283712.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240731.1",6,12,12,35,32,32,67,30,24,50,36
"ENSG00000224051.6",113,127,58,79,238,148,187,162,211,198,114
"ENSG00000169962.4",0,0,0,17,8,3,6,6,13,0,2
"ENSG00000107404.19",185,395,232,227,580,323,1120,377,526,455,272
"ENSG00000284372.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162576.16",54,140,129,45,213,85,253,81,58,25,84
"ENSG00000175756.13",160,210,91,114,448,372,220,391,511,362,209
"ENSG00000223663.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000221978.11",683,1417,857,653,1958,1887,3883,2398,2206,2780,2424
"ENSG00000224870.6",123,168,78,101,361,340,160,440,425,311,258
"ENSG00000242485.5",367,458,290,382,978,1195,316,1063,1267,866,673
"ENSG00000264293.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272455.1",6,37,20,1,35,17,74,28,32,55,34
"ENSG00000235098.8",63,73,45,14,147,99,16,137,76,3,91
"ENSG00000225905.1",13,3,7,4,0,4,0,9,9,1,2
"ENSG00000205116.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225285.1",15,24,6,0,26,12,38,14,17,24,15
"ENSG00000179403.11",733,1080,811,1166,3133,1233,1469,1344,1322,758,592
"ENSG00000215915.9",44,57,42,21,35,24,29,72,22,57,52
"ENSG00000160072.19",86,270,174,89,238,309,616,364,382,270,187
"ENSG00000284740.1",4,0,2,0,3,2,4,6,6,3,3
"ENSG00000197785.13",66,140,79,69,249,69,275,165,123,142,98
"ENSG00000205090.8",5,3,5,0,10,5,8,2,2,3,8
"ENSG00000160075.11",644,725,483,484,1630,1676,977,1530,1909,1759,1281
"ENSG00000215014.5",2,2,0,6,11,15,8,12,27,36,13
"ENSG00000274481.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228594.3",4,9,12,0,22,6,3,8,21,56,7
"ENSG00000272106.1",62,94,19,59,167,163,24,119,202,188,107
