"","M_B_RNA1","M_B_RNA2","N_B_RNA3","M_B_RNA4","N_B_RNA5","M_B_RNA8","M_B_RNA9","N_B_RNA10","N_B_RNA11","M_B_RNA19","M_B_RNA20"
"ENSG00000285280.1",5,4,0,0,15,15,6,8,22,20,13
"ENSG00000226723.2",7,0,2,2,0,0,0,2,3,3,1
"ENSG00000236792.1",0,0,0,0,0,0,0,1,0,0,0
"ENSG00000253148.1",0,0,0,0,0,2,0,0,2,0,0
"ENSG00000236069.2",0,0,0,0,2,10,2,4,7,0,23
"ENSG00000090104.11",275,343,683,222,1393,1766,1028,1451,965,183,2798
"ENSG00000127074.14",4,0,6,5,37,13,2,25,23,3,51
"ENSG00000231767.4",8,4,4,3,1,4,1,6,9,1,1
"ENSG00000283795.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228687.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226814.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000116741.7",225,293,656,960,1436,1732,372,1121,1483,3601,1413
"ENSG00000223075.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234473.1",8,23,7,16,24,20,31,18,43,19,20
"ENSG00000116750.13",281,197,133,172,1479,1774,317,1186,2414,1420,1086
"ENSG00000238754.1",0,1,0,0,4,5,1,1,0,9,2
"ENSG00000116747.12",937,631,557,785,6150,6709,848,4704,8840,3507,5302
"ENSG00000023572.9",738,353,149,353,2645,2545,293,1990,3958,1667,1343
"ENSG00000134371.12",766,576,595,752,4513,4106,870,3115,5530,2266,3327
"ENSG00000221680.1",1,10,0,9,2,3,1,3,7,5,1
"ENSG00000162630.5",22,24,85,27,156,67,36,90,102,4,81
"ENSG00000276735.1",0,0,0,0,0,0,2,0,0,0,0
"ENSG00000232077.1",4,0,0,0,11,19,3,24,20,21,1
"ENSG00000226640.2",0,0,0,0,0,4,0,3,3,3,2
"ENSG00000237011.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237213.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227240.1",1,0,0,0,1,0,0,1,0,0,1
"ENSG00000233057.1",83,37,31,47,1,0,0,5,2,6,6
"ENSG00000231714.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251813.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228167.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285718.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227421.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162687.17",12,38,97,20,88,93,136,52,52,14,168
"ENSG00000265986.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000000971.15",474,604,911,563,1335,1587,790,1862,1305,155,1720
"ENSG00000116785.13",0,0,0,0,0,3,0,0,0,0,0
"ENSG00000244414.6",0,0,0,0,0,6,0,0,1,0,1
"ENSG00000285986.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000134365.13",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000080910.12",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000273844.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000134389.9",0,0,0,0,1,0,0,1,0,0,0
"ENSG00000143278.4",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000066279.17",29,21,26,66,97,132,82,83,135,121,163
"ENSG00000235748.1",0,0,6,0,0,0,3,3,3,2,1
"ENSG00000177888.7",306,236,168,267,2159,2667,373,1801,3640,1947,1964
"ENSG00000237861.1",0,0,3,0,2,0,1,2,1,0,7
"ENSG00000134376.15",2,12,5,0,5,4,2,4,10,1,12
"ENSG00000221879.3",2,0,0,0,0,0,0,0,0,0,0
"ENSG00000230260.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000213047.12",404,216,241,392,1988,2252,388,1807,2667,1560,2592
"ENSG00000207139.1",0,0,0,0,19,11,2,11,7,1,7
"ENSG00000213046.4",0,0,0,0,0,1,0,0,0,0,0
"ENSG00000235582.2",2,1,0,3,1,0,0,2,1,0,4
"ENSG00000233040.2",1,29,31,2,40,37,40,41,47,52,34
"ENSG00000224901.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000203724.10",5,2,0,0,22,30,1,15,12,9,10
"ENSG00000143355.15",0,0,0,0,6,1,0,0,0,0,2
"ENSG00000151414.14",399,209,258,409,2810,2814,557,1834,3342,1531,2062
"ENSG00000232824.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000151418.11",0,0,0,0,8,0,0,10,0,0,2
"ENSG00000223881.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000081237.19",318,180,656,362,1325,907,565,832,744,192,2250
"ENSG00000261573.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236278.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229989.3",0,6,9,0,19,18,20,6,9,6,41
"ENSG00000207975.1",1,0,0,0,0,0,0,0,0,0,1
"ENSG00000207759.1",0,0,0,0,0,0,0,2,0,0,0
"ENSG00000227747.2",3,4,1,0,0,0,0,0,0,0,1
"ENSG00000225172.5",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233410.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235492.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231718.1",0,0,1,0,0,0,0,0,0,0,0
"ENSG00000228190.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236468.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231984.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228530.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000200139.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229747.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000202491.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000202329.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000116833.13",41,30,7,64,100,114,28,69,43,2600,50
"ENSG00000252860.1",0,0,0,0,0,0,0,2,1,65,3
"ENSG00000229220.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233827.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000203721.6",0,0,13,0,3,9,3,1,10,5,14
"ENSG00000273093.1",0,0,0,0,0,0,0,0,0,0,3
"ENSG00000213045.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230623.5",0,0,0,0,0,0,0,0,0,1,0
"ENSG00000162702.7",204,218,112,152,993,927,209,785,1154,799,843
"ENSG00000282849.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000118193.11",10,5,10,19,16,22,23,18,54,56,56
"ENSG00000118197.13",178,180,93,217,844,875,293,653,1122,474,699
"ENSG00000260088.1",0,0,0,0,2,7,5,4,0,0,0
"ENSG00000118200.14",641,493,493,502,2863,2671,857,1889,3253,1785,2890
"ENSG00000231333.2",1,0,0,27,5,6,1,0,6,5,0
"ENSG00000170128.4",0,0,0,3,1,0,0,0,0,0,0
"ENSG00000163362.10",109,109,89,49,178,152,50,281,128,10,392
"ENSG00000233217.2",0,0,0,0,5,1,2,2,2,1,6
"ENSG00000201032.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000116852.14",27,32,115,31,68,16,79,68,49,17,78
"ENSG00000229191.1",0,0,0,0,0,0,0,0,0,2,0
"ENSG00000234132.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000081248.10",0,0,0,0,0,14,0,0,3,0,0
"ENSG00000232237.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000116857.16",685,775,402,372,1255,1122,286,1178,1492,1130,898
"ENSG00000163395.16",0,1,0,0,0,28,25,7,16,21,2
"ENSG00000229821.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000081277.12",2883,2469,1158,847,5581,3759,192,4509,6281,2814,3672
"ENSG00000118194.18",4,15,0,0,4,6,4,19,5,3,26
"ENSG00000159166.13",237,263,218,204,486,674,574,615,951,725,664
"ENSG00000282221.1",11,20,6,17,37,74,12,57,83,50,35
"ENSG00000159173.18",0,0,0,0,0,83,4,0,6,2,0
"ENSG00000227048.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224818.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000174307.6",91,168,102,181,363,253,226,240,245,62,238
"ENSG00000159176.13",4057,5040,7812,12099,22931,6467,4334,9472,11129,2668,6662
"ENSG00000224536.2",37,45,5,18,37,57,11,50,68,102,46
"ENSG00000223396.4",69,67,48,22,97,84,54,106,154,189,117
"ENSG00000134369.15",406,711,689,320,819,702,502,554,714,3230,1071
"ENSG00000236390.1",0,0,0,0,0,0,0,0,0,1,0
"ENSG00000231871.5",3,13,3,0,1,4,2,2,6,3,8
"ENSG00000264802.1",0,0,0,0,1,5,4,0,2,13,0
"ENSG00000235121.1",0,0,0,10,3,1,0,2,8,4,8
"ENSG00000200942.1",0,0,0,0,0,0,0,2,0,1,0
"ENSG00000221028.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000198700.9",769,811,609,603,2085,1770,731,1657,2611,1632,1760
"ENSG00000277681.1",2,1,4,0,6,0,8,5,7,7,0
"ENSG00000198892.6",46,49,25,13,152,138,61,95,264,65,64
"ENSG00000223774.5",1,0,0,0,9,0,8,3,6,12,2
"ENSG00000163431.12",969,1499,2908,2991,7795,796,1785,1467,1398,145,1213
"ENSG00000134375.10",144,158,122,172,881,761,140,605,1081,631,551
"ENSG00000206637.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238003.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000176393.10",553,702,418,465,1194,1488,382,1450,2133,1235,933
"ENSG00000234678.2",52,17,74,26,31,239,184,97,154,191,121
"ENSG00000275207.1",0,0,0,0,0,0,2,0,0,2,1
"ENSG00000163435.15",1021,623,738,583,961,2371,804,3019,1449,945,3758
"ENSG00000249007.1",4,9,3,0,3,12,2,26,15,7,35
"ENSG00000232296.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235811.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000212512.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227109.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000170075.8",0,0,0,0,0,2,5,4,0,1,2
"ENSG00000143862.7",225,227,236,236,612,500,291,500,729,509,445
"ENSG00000143851.15",15,22,50,8,52,17,42,52,32,15,80
"ENSG00000243323.7",12,12,10,0,10,3,45,17,3,8,10
"ENSG00000133067.17",124,415,242,6,471,159,11,145,90,10,183
"ENSG00000077152.10",13,25,19,26,40,25,12,21,40,35,66
"ENSG00000077157.21",2064,2363,4229,5368,10601,5439,4221,4758,6784,3382,4419
"ENSG00000229120.2",0,0,0,0,0,0,0,0,0,2,0
"ENSG00000272262.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232626.3",13,32,7,0,30,35,41,23,49,40,16
"ENSG00000236439.4",17,12,8,7,11,18,4,12,11,6,19
"ENSG00000253042.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000143858.11",6,0,0,0,5,2,1,4,1,0,10
"ENSG00000226862.1",0,0,0,0,1,2,0,3,2,11,7
"ENSG00000225620.1",0,0,0,0,0,0,0,0,0,0,4
"ENSG00000117139.17",1289,1210,1082,906,4303,5275,1538,4235,5818,4353,4696
"ENSG00000235449.2",5,0,1,0,9,18,16,18,17,13,16
"ENSG00000226148.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260021.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228288.6",13,10,0,0,1,12,22,9,14,16,5
"ENSG00000184774.10",3,0,0,9,0,4,5,6,4,6,1
"ENSG00000214796.8",23,22,5,1,50,41,35,52,90,81,37
"ENSG00000234996.4",20,0,0,0,10,16,4,11,27,19,14
"ENSG00000183155.4",99,58,44,44,250,271,60,219,398,224,192
"ENSG00000117153.15",509,381,390,433,1492,1874,337,1632,2545,1034,1383
"ENSG00000230280.2",0,0,0,0,0,0,0,0,0,0,1
"ENSG00000199471.1",0,0,0,0,0,0,0,2,0,1,2
"ENSG00000159346.12",934,913,506,953,2546,3161,762,2484,4299,2889,2141
"ENSG00000159348.12",361,300,210,275,1155,1268,242,1044,1548,747,779
"ENSG00000234761.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231547.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000163444.11",331,263,234,371,861,962,308,957,1237,844,821
"ENSG00000143847.15",6,4,7,6,15,7,36,15,9,15,31
"ENSG00000122180.4",0,0,0,0,0,2,0,0,1,0,0
"ENSG00000163485.16",0,0,0,0,1,0,3,0,0,1,0
"ENSG00000234775.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224671.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000133055.8",0,0,0,0,0,1,0,0,0,0,0
"ENSG00000133048.12",6,8,23,2,12,8,22,30,3,3,136
"ENSG00000133063.15",17,28,9,0,12,0,22,7,0,19,450
"ENSG00000236523.2",2,0,0,1,0,0,0,0,0,0,1
"ENSG00000231507.1",0,0,0,0,0,0,1,0,0,0,0
"ENSG00000233791.5",0,0,0,0,4,3,3,9,0,4,15
"ENSG00000159388.5",1351,1260,1703,1525,2285,3280,1245,7438,2586,1255,7678
"ENSG00000202300.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000122176.11",1072,693,576,1732,880,2864,242,1211,5161,5373,1192
"ENSG00000229652.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000271588.1",0,0,0,0,0,0,0,0,0,1,0
"ENSG00000188783.5",225,732,898,709,1285,234,762,346,353,76,273
"ENSG00000188770.9",0,0,0,0,0,0,0,1,0,2,0
"ENSG00000058668.14",1026,1110,2386,3541,6504,1978,1567,3550,2370,302,3759
"ENSG00000236035.2",0,0,0,0,0,0,0,1,0,0,0
"ENSG00000221643.1",0,4,7,0,24,17,10,20,2,1,14
"ENSG00000122188.12",4,9,28,11,17,8,25,18,17,3,54
"ENSG00000058673.16",0,8,4,0,79,72,18,71,66,59,78
"ENSG00000257315.2",28,73,43,17,45,86,30,49,80,37,78
"ENSG00000227417.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223505.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000182004.12",129,66,35,107,672,905,150,659,1074,657,726
"ENSG00000236430.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232917.5",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237379.1",0,0,0,0,0,1,0,1,0,0,0
"ENSG00000176754.12",0,0,0,0,0,0,1,0,0,0,0
"ENSG00000143842.14",423,1003,484,175,673,677,726,674,927,786,762
"ENSG00000261065.1",7,10,0,0,4,0,1,0,1,2,0
"ENSG00000143845.14",87,149,104,71,320,184,77,277,200,23,286
"ENSG00000230550.1",0,0,0,0,0,0,0,0,2,0,2
"ENSG00000143839.14",0,0,0,0,0,1,0,1,4,1,2
"ENSG00000225522.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000170498.8",0,0,0,0,0,1,0,1,0,0,0
"ENSG00000174567.7",26,23,9,34,51,58,31,54,72,81,72
"ENSG00000143850.14",875,1145,510,393,1426,1539,963,1593,2057,615,1398
"ENSG00000231691.1",0,0,0,0,1,0,0,0,0,0,0
"ENSG00000219133.2",3,10,11,0,11,43,5,12,32,11,3
"ENSG00000280924.1",10,12,0,22,3,3,3,14,13,6,2
"ENSG00000226330.1",0,0,0,0,2,2,5,2,8,3,0
"ENSG00000237848.1",0,0,0,0,0,0,0,0,2,1,0
"ENSG00000158615.8",1071,1146,766,1020,3963,4486,1054,3624,5380,4261,4254
"ENSG00000133056.13",298,481,242,320,718,452,337,606,640,200,838
"ENSG00000198625.12",1287,1661,1563,1161,4210,4097,2589,3884,4621,5005,4754
"ENSG00000236779.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000200408.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240710.1",0,5,0,0,6,8,4,7,13,8,11
"ENSG00000170382.11",3,18,14,0,19,10,9,11,9,1,11
"ENSG00000240219.1",4,5,5,0,12,10,7,15,12,12,23
"ENSG00000228153.1",1,0,0,0,0,0,0,0,0,0,0
"ENSG00000252650.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251861.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000163531.15",128,360,393,210,999,254,828,482,193,92,379
"ENSG00000229657.2",0,2,14,2,5,6,17,17,13,5,8
"ENSG00000184144.11",1,0,17,3,5,0,0,1,0,1,11
"ENSG00000174529.7",5,0,6,0,27,30,18,30,20,24,29
"ENSG00000117222.13",295,275,405,198,1013,1124,261,912,1315,662,865
"ENSG00000271580.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236108.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000133059.16",267,266,266,362,957,893,349,914,1036,535,1011
"ENSG00000213041.4",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000133069.16",1,19,15,10,7,1,10,12,10,1,22
"ENSG00000225063.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000163545.8",46,46,58,42,47,130,57,75,162,223,90
"ENSG00000162873.14",0,9,0,0,5,0,2,0,3,0,10
"ENSG00000235363.1",4,2,22,1,19,26,6,28,59,19,26
"ENSG00000226235.1",0,0,7,0,0,0,2,2,0,0,0
"ENSG00000186007.9",0,1,0,0,2,4,0,1,0,0,9
"ENSG00000281406.1",4,0,4,0,2,1,3,11,0,1,19
"ENSG00000199059.3",0,0,0,0,0,3,0,0,0,0,1
"ENSG00000224717.1",0,0,0,0,1,0,0,1,0,0,5
"ENSG00000117266.15",27,193,91,91,98,93,81,163,54,42,163
"ENSG00000253097.1",0,0,0,0,0,0,0,0,0,0,1
"ENSG00000174514.12",65,41,26,54,113,91,36,194,114,188,189
"ENSG00000206762.1",0,0,0,0,0,0,0,0,0,1,0
"ENSG00000158711.13",10398,3610,1922,2472,18850,21417,2662,10846,35357,7282,14449
"ENSG00000236942.1",0,0,1,1,0,0,0,0,0,0,1
"ENSG00000158715.5",25423,13653,3672,12182,43629,46770,15431,28044,71385,46203,16278
"ENSG00000275213.1",2,1,0,0,1,5,24,0,0,11,3
"ENSG00000069275.12",3310,2309,2164,2662,13211,14178,2760,11713,16571,11608,13171
"ENSG00000201944.1",2,0,0,0,33,48,2,34,81,56,40
"ENSG00000117280.12",486,369,280,261,1152,1265,258,927,2068,769,613
"ENSG00000285521.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000133065.10",1111,317,199,508,1517,1178,346,941,1897,2578,655
"ENSG00000162877.12",0,0,2,0,12,0,3,3,0,1,8
"ENSG00000174502.18",12,0,23,0,6,2,2,12,2,1,58
"ENSG00000227687.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000276600.4",114,170,95,70,326,222,72,317,199,19,493
"ENSG00000196188.10",19,3,14,0,14,0,2,6,1,1,88
"ENSG00000285417.1",4,0,3,9,5,0,5,13,0,0,22
"ENSG00000263961.7",1,0,8,0,12,17,5,6,5,0,7
"ENSG00000252692.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000198049.6",0,0,0,0,0,0,0,0,0,23,0
"ENSG00000226780.1",0,0,0,0,1,0,0,4,0,0,0
"ENSG00000225483.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236889.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000196550.10",7,0,5,12,4,1,2,0,0,7,11
"ENSG00000266028.7",125,196,307,129,271,322,292,339,412,334,415
"ENSG00000229509.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000263528.7",88,143,33,89,127,92,76,162,147,101,193
"ENSG00000278465.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162888.4",0,0,4,0,0,0,0,0,3,0,0
"ENSG00000261000.1",0,0,0,0,0,0,1,1,0,0,5
"ENSG00000266094.7",347,199,229,201,437,462,138,671,438,238,851
"ENSG00000234981.1",8,11,6,1,4,3,7,14,1,0,9
"ENSG00000279946.1",1,23,30,0,9,11,13,38,4,4,28
"ENSG00000143486.15",506,433,496,410,1098,1172,681,1364,1560,1363,1377
"ENSG00000237605.1",0,0,0,0,0,0,0,1,1,0,3
"ENSG00000143479.16",33,53,43,20,128,193,40,163,121,88,228
"ENSG00000162889.10",424,416,423,371,841,980,541,853,820,844,1120
"ENSG00000224114.1",1,36,17,9,79,0,0,0,0,0,1
"ENSG00000199349.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000136634.6",2,0,7,0,2,5,4,1,3,2,12
"ENSG00000142224.15",0,0,0,0,0,0,0,0,0,0,2
"ENSG00000162891.10",0,0,0,5,2,0,0,0,2,0,10
"ENSG00000162892.15",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162894.11",14,19,66,12,43,37,13,32,31,12,57
"ENSG00000271680.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226945.1",1,0,0,1,0,0,0,0,1,0,0
"ENSG00000162896.5",5706,1856,6743,14693,4422,2159,504,4049,3254,1343,17027
"ENSG00000162897.14",0,0,0,0,2,1,0,0,1,0,5
"ENSG00000182795.12",5136,3620,1795,2685,8932,10896,2418,6549,16044,5733,4989
"ENSG00000123836.14",313,301,224,225,1117,1269,188,770,1667,647,652
"ENSG00000180667.10",121,97,144,117,698,857,185,659,1020,670,874
"ENSG00000123843.12",0,0,4,0,0,0,0,0,0,0,0
"ENSG00000123838.10",11,0,0,21,6,4,1,19,0,0,55
"ENSG00000275392.1",0,0,0,0,0,1,0,0,0,0,1
"ENSG00000226565.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224462.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000243636.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232621.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237074.2",0,0,0,0,0,0,0,0,0,1,0
"ENSG00000196352.15",123,77,149,133,351,660,222,645,640,47,916
"ENSG00000283044.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000117322.17",0,0,16,0,15,0,2,5,7,0,2
"ENSG00000203710.11",21,15,26,29,33,28,16,23,13,5,24
"ENSG00000236911.6",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000197721.16",11,0,16,0,0,0,0,0,3,1,11
"ENSG00000244703.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226289.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000274059.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285239.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000117335.19",3659,2010,1463,2411,17362,24978,2676,16079,30956,10128,13467
"ENSG00000234219.1",19,30,10,0,37,33,33,51,27,38,31
"ENSG00000203709.11",386,576,698,358,887,1174,2251,1800,1292,2187,2415
"ENSG00000284214.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284203.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000174059.16",100,219,176,141,463,198,140,147,119,30,232
"ENSG00000285719.1",0,0,0,0,0,0,0,0,2,0,1
"ENSG00000284237.1",19,13,10,14,24,38,21,18,81,9,33
"ENSG00000076356.6",179,412,396,204,764,637,253,813,655,201,1060
"ENSG00000226843.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261453.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259815.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227887.1",0,1,0,0,0,0,0,0,0,0,0
"ENSG00000232812.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236950.1",0,0,1,0,0,0,0,0,0,0,0
"ENSG00000278684.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232537.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228081.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224540.1",1,0,0,0,2,0,0,0,0,0,0
"ENSG00000225712.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227940.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231648.1",0,0,0,0,2,0,1,2,7,0,1
"ENSG00000230937.11",804,973,573,331,1423,1924,338,2351,1807,38,3497
"ENSG00000284485.1",48,29,42,11,82,84,25,107,79,9,158
"ENSG00000224260.6",0,0,0,0,1,0,1,1,0,0,5
"ENSG00000008118.9",7,8,50,0,63,16,15,14,5,2,11
"ENSG00000196878.14",1468,1547,1227,1157,3830,1975,444,3182,1792,79,3449
"ENSG00000283876.1",3,0,0,0,4,0,0,1,0,0,0
"ENSG00000227591.5",9,0,11,0,3,5,2,2,4,0,6
"ENSG00000123689.5",23,23,7,4,84,55,23,78,34,2,66
"ENSG00000117594.9",25,82,73,22,191,42,44,42,23,1,192
"ENSG00000236136.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000009790.14",28,21,85,59,109,71,56,82,58,8,143
"ENSG00000162757.4",70,40,68,67,198,239,30,188,338,138,348
"ENSG00000117595.11",1662,1535,946,966,4460,4997,684,5313,5497,2020,6050
"ENSG00000117597.17",248,196,229,226,739,728,224,760,1004,573,942
"ENSG00000143469.18",23,0,3,1,177,228,4,155,216,658,40
"ENSG00000203706.8",5,11,0,28,22,11,14,24,33,1,18
"ENSG00000082497.11",211,131,59,126,533,342,100,320,327,18,839
"ENSG00000228110.4",3,3,1,9,3,2,0,1,2,0,3
"ENSG00000233455.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000054392.12",321,308,186,107,589,404,60,447,466,261,867
"ENSG00000200972.1",0,0,0,0,0,0,0,3,0,0,0
"ENSG00000270936.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000143473.12",7,5,0,0,25,9,4,1,8,0,9
"ENSG00000279333.1",17,24,19,1,24,27,2,43,34,7,49
"ENSG00000284299.1",0,0,0,0,0,1,0,0,0,0,0
"ENSG00000224668.1",1,1,0,0,0,0,0,0,0,0,0
"ENSG00000283952.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284376.1",0,5,0,0,0,1,0,0,0,0,0
"ENSG00000234233.1",0,0,0,0,0,0,0,0,0,0,1
"ENSG00000234004.4",1,1,3,1,0,0,0,1,0,0,2
"ENSG00000226986.4",0,3,0,0,0,0,0,0,0,0,0
"ENSG00000117625.13",579,573,533,551,2669,2301,693,2062,2615,1274,2616
"ENSG00000082512.14",165,206,314,248,679,366,700,382,367,64,527
"ENSG00000153363.12",91,117,42,120,349,327,92,258,643,436,248
"ENSG00000236809.2",3,1,0,1,13,11,5,13,17,22,7
"ENSG00000238137.2",0,0,0,0,2,1,0,0,2,1,1
"ENSG00000198570.5",2,0,0,0,0,1,0,0,0,1,0
"ENSG00000223649.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000170385.9",235,145,145,237,1638,2447,308,1503,2836,1426,1855
"ENSG00000261314.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228792.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227764.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000117650.12",55,13,1,13,16,8,8,12,22,12,25
"ENSG00000224763.1",0,0,0,0,0,0,0,0,0,1,0
"ENSG00000231057.3",0,0,0,0,1,0,0,0,0,1,1
"ENSG00000226868.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000123684.12",842,966,904,664,3564,3554,786,3815,3472,1799,4816
"ENSG00000241395.3",0,7,4,0,10,8,1,7,2,5,15
"ENSG00000212205.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229258.5",0,0,0,0,1,0,1,0,0,0,2
"ENSG00000233626.2",0,0,0,0,0,0,0,1,0,0,0
"ENSG00000143493.12",333,313,186,270,1036,870,128,943,1057,599,926
"ENSG00000212187.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000143476.17",24,31,36,23,80,45,11,27,43,52,155
